epoch,train_total,train_dynamics,train_recon_states,train_pred_recon_states,train_sigreg,val_dynamics,val_recon_states,val_pred_recon_states,val_openloop_10,val_openloop_25,val_openloop_50,z_std,lr,elapsed_s
1,3.45785,0.54737,0.70747,0.78115,0.31033,0.56932,0.64380,0.75439,0.75300,0.50186,0.59621,0.8454,1.00e-03,23.4
5,2.00137,0.41024,0.27578,0.51585,0.07816,0.57067,0.49611,0.67477,0.78268,0.61545,0.68564,0.9310,9.96e-04,111.7
10,1.60928,0.42830,0.21287,0.45942,0.04170,0.60946,0.45594,0.67093,0.68606,0.65644,0.72356,0.9663,9.83e-04,226.4
15,1.43773,0.36944,0.18298,0.35371,0.03362,0.66502,0.49565,0.67397,0.69955,0.76840,0.79901,0.9798,9.62e-04,336.9
20,0.98301,0.31487,0.16335,0.27735,0.02756,0.67242,0.51314,0.74119,0.70117,0.80289,0.87354,0.9825,9.33e-04,448.9
25,0.82569,0.26247,0.14349,0.21987,0.02496,0.63443,0.51869,0.68613,0.63190,0.73930,0.74981,0.9907,8.97e-04,561.4
30,0.79376,0.23703,0.12875,0.19011,0.02060,0.66045,0.51561,0.72241,0.62488,0.77289,0.83743,0.9986,8.54e-04,672.8
35,0.70388,0.21666,0.11880,0.16722,0.01735,0.64508,0.52752,0.68560,0.62759,0.75459,0.75574,1.0023,8.04e-04,773.3
40,0.58436,0.20078,0.10501,0.14251,0.01482,0.66225,0.53760,0.73024,0.57254,0.76743,0.82938,1.0106,7.50e-04,888.3
45,0.56055,0.18891,0.09688,0.12762,0.01445,0.71219,0.52867,0.69526,0.69499,0.88864,0.79234,1.0176,6.91e-04,969.6
50,0.54005,0.17984,0.09224,0.11964,0.01185,0.68164,0.53086,0.70642,0.59288,0.85776,0.90626,1.0258,6.29e-04,1026.0
55,0.48002,0.17022,0.08312,0.10495,0.01050,0.69829,0.50803,0.70202,0.60267,0.86603,0.86701,1.0351,5.65e-04,1096.3
60,0.44017,0.16622,0.07972,0.10121,0.01004,0.71679,0.53769,0.72291,0.63407,0.85985,0.93281,1.0375,5.00e-04,1212.6
65,0.39343,0.15814,0.07276,0.08916,0.00881,0.71903,0.51558,0.69434,0.62337,0.88777,0.88023,1.0450,4.35e-04,1324.7
70,0.33857,0.15084,0.06943,0.08185,0.00746,0.74875,0.52505,0.70547,0.60920,0.96463,0.94676,1.0536,3.71e-04,1402.6
75,0.32836,0.15042,0.06620,0.07886,0.00696,0.74165,0.52121,0.72648,0.62259,0.92513,0.92255,1.0574,3.09e-04,1501.6
80,0.31067,0.14484,0.06331,0.07300,0.00677,0.72090,0.54274,0.69887,0.65401,0.88723,0.96731,1.0624,2.50e-04,1613.0
85,0.30052,0.14277,0.06190,0.07076,0.00564,0.73253,0.53579,0.69687,0.66017,0.87873,0.93848,1.0632,1.96e-04,1723.4
90,0.28436,0.13804,0.05862,0.06554,0.00605,0.74048,0.54299,0.69341,0.66879,0.89286,0.95483,1.0682,1.46e-04,1836.0
95,0.28135,0.13863,0.05801,0.06453,0.00580,0.74025,0.55089,0.69141,0.66151,0.88625,0.95476,1.0692,1.03e-04,1948.9
100,0.27219,0.13500,0.05625,0.06163,0.00549,0.74421,0.55066,0.69903,0.64709,0.89291,0.97977,1.0711,6.70e-05,2066.7
105,0.26793,0.13427,0.05544,0.05955,0.00648,0.74822,0.55224,0.69899,0.65759,0.89239,0.98820,1.0717,3.81e-05,2178.3
110,0.26284,0.13205,0.05467,0.05823,0.00592,0.75093,0.55061,0.69845,0.66094,0.89021,0.99543,1.0732,1.70e-05,2291.9
115,0.26331,0.13192,0.05447,0.05871,0.00589,0.74868,0.55249,0.70161,0.65766,0.89300,0.99277,1.0732,4.28e-06,2406.2
120,0.26450,0.13282,0.05477,0.05894,0.00502,0.74955,0.55249,0.69990,0.65754,0.89382,0.99303,1.0733,0.00e+00,2519.8
